time0;time;mode;uncertainty;skew
2004;2004;1.34;0.2249;0
2004;2004.25;1.6;0.3149;0
2004;2004.5;1.6;0.3824;0
2004;2004.75;1.71;0.4274;0
2004;2005;1.77;0.4499;0
2004;2005.25;1.68;0.4761;0
2004;2005.5;1.71;0.5154;0
2004;2005.75;1.76;0.5547;0
2004;2006;1.87;0.5809;0
2004.25;2004.25;1.46;0.214;0
2004.25;2004.5;1.36;0.2996;0
2004.25;2004.75;1.39;0.3638;0
2004.25;2005;1.43;0.4066;0
2004.25;2005.25;1.6;0.428;0
2004.25;2005.5;1.71;0.4548;0
2004.25;2005.75;1.76;0.4949;0
2004.25;2006;1.98;0.5351;0
2004.25;2006.25;2.13;0.5618;0
2004.5;2004.5;1.18;0.2079;0
2004.5;2004.75;1.22;0.291;0
2004.5;2005;1.32;0.3533;0
2004.5;2005.25;1.38;0.3949;0
2004.5;2005.5;1.53;0.4157;0
2004.5;2005.75;1.53;0.4465;0
2004.5;2006;1.64;0.4927;0
2004.5;2006.25;1.96;0.539;0
2004.5;2006.5;2.01;0.5698;0
2004.5;2006.75;2.01;0.5954;0
2004.5;2007;2.05;0.6097;0
2004.5;2007.25;2.06;0.6211;0
2004.5;2007.5;2.08;0.6268;0
2004.75;2004.75;1.18;0.2006;-0.05
2004.75;2005;1.2;0.2808;-0.07
2004.75;2005.25;1.36;0.341;-0.085
2004.75;2005.5;1.57;0.3811;-0.095
2004.75;2005.75;1.65;0.4012;-0.1
2004.75;2006;1.73;0.4343;-0.12
2004.75;2006.25;1.84;0.4839;-0.15
2004.75;2006.5;1.95;0.5336;-0.18
2004.75;2006.75;2.03;0.5667;-0.2
2004.75;2007;2.07;0.5922;-0.2
2004.75;2007.25;2.1;0.6064;-0.2
2004.75;2007.5;2.14;0.6177;-0.2
2004.75;2007.75;2.16;0.6234;-0.2
2005;2005;1.54;0.2016;-0.05
2005;2005.25;1.58;0.2822;-0.07
2005;2005.5;1.65;0.3427;-0.085
2005;2005.75;1.73;0.383;-0.095
2005;2006;1.8;0.4031;-0.1
2005;2006.25;1.9;0.4339;-0.12
2005;2006.5;2;0.48;-0.15
2005;2006.75;2.09;0.5262;-0.18
2005;2007;2.15;0.5569;-0.2
2005;2007.25;2.22;0.582;-0.2
2005;2007.5;2.25;0.5959;-0.2
2005;2007.75;2.29;0.607;-0.2
2005;2008;2.32;0.6126;-0.2
2005.25;2005.25;1.98;0.2001;0
2005.25;2005.5;2.06;0.2801;0
2005.25;2005.75;2.1;0.3401;0
2005.25;2006;2.01;0.3801;0
2005.25;2006.25;1.86;0.4001;0
2005.25;2006.5;1.9;0.4284;0
2005.25;2006.75;1.93;0.4709;0
2005.25;2007;1.96;0.5134;0
2005.25;2007.25;2;0.5417;0
2005.25;2007.5;2.04;0.5661;0
2005.25;2007.75;2.09;0.5796;0
2005.25;2008;2.11;0.5904;0
2005.25;2008.25;2.11;0.5959;0
2005.5;2005.5;2.16;0.2032;0
2005.5;2005.75;2.3;0.2845;0
2005.5;2006;2.19;0.3454;0
2005.5;2006.25;2.01;0.3861;0
2005.5;2006.5;1.91;0.4064;0
2005.5;2006.75;1.81;0.4293;-0.02
2005.5;2007;1.94;0.4638;-0.05
2005.5;2007.25;2.13;0.4982;-0.08
2005.5;2007.5;2.18;0.5211;-0.1
2005.5;2007.75;2.26;0.5446;-0.055
2005.5;2008;2.34;0.5576;-0.03
2005.5;2008.25;2.35;0.568;-0.01
2005.5;2008.5;2.31;0.5733;0
2005.75;2005.75;2.23;0.2461;0
2005.75;2006;2.16;0.3445;0
2005.75;2006.25;2.03;0.4183;0
2005.75;2006.5;1.85;0.4675;0
2005.75;2006.75;1.77;0.4921;0
2005.75;2007;1.81;0.495;0
2005.75;2007.25;1.84;0.4985;0
2005.75;2007.5;1.89;0.5064;0
2005.75;2007.75;1.95;0.5305;0
2005.75;2008;2.04;0.5544;0
2005.75;2008.25;2.07;0.5677;0
2005.75;2008.5;2.08;0.5783;0
2005.75;2008.75;2.11;0.5836;0
2006;2006;1.96;0.205;0
2006;2006.25;1.94;0.287;0
2006;2006.5;1.97;0.3485;0
2006;2006.75;2;0.3895;0
2006;2007;2.03;0.41;0
2006;2007.25;2.04;0.4377;0
2006;2007.5;2.05;0.4793;0
2006;2007.75;2.04;0.5209;0
2006;2008;2.03;0.5486;0
2006;2008.25;2.01;0.5733;0
2006;2008.5;2.01;0.587;0
2006;2008.75;2.01;0.598;0
2006;2009;2.01;0.6035;0
2006.25;2006.25;2.27;0.2038;0
2006.25;2006.5;2.19;0.2853;0
2006.25;2006.75;2.33;0.3464;0
2006.25;2007;2.35;0.3871;0
2006.25;2007.25;2.12;0.4075;0
2006.25;2007.5;2.1;0.4384;0
2006.25;2007.75;2.09;0.4848;0
2006.25;2008;2.06;0.5312;0
2006.25;2008.25;2.01;0.5622;0
2006.25;2008.5;1.99;0.5875;0
2006.25;2008.75;1.99;0.6015;0
2006.25;2009;1.98;0.6128;0
2006.25;2009.25;1.97;0.6184;0
2006.5;2006.5;2.32;0.2804;0
2006.5;2006.75;2.71;0.3855;0
2006.5;2007;2.76;0.4596;0
2006.5;2007.25;2.56;0.5042;0
2006.5;2007.5;2.37;0.5207;0
2006.5;2007.75;2.19;0.5505;0
2006.5;2008;2.2;0.5981;0
2006.5;2008.25;2.11;0.6434;0
2006.5;2008.5;2.05;0.6677;0
2006.5;2008.75;2.06;0.6832;0
2006.5;2009;2.07;0.6847;0
2006.5;2009.25;2.05;0.6975;0
2006.5;2009.5;2.06;0.7039;0
2006.75;2006.75;2.56;0.284;0
2006.75;2007;2.68;0.3905;0
2006.75;2007.25;2.36;0.4655;0
2006.75;2007.5;2.06;0.5106;0
2006.75;2007.75;2.03;0.5274;0
2006.75;2008;2;0.5545;0
2006.75;2008.25;1.98;0.5986;0
2006.75;2008.5;1.97;0.6404;0
2006.75;2008.75;1.98;0.6624;0
2006.75;2009;1.96;0.6778;0
2006.75;2009.25;1.97;0.6793;0
2006.75;2009.5;1.96;0.692;0
2006.75;2009.75;1.99;0.6983;0
2007;2007;2.9;0.2966;-0.05
2007;2007.25;2.56;0.4152;-0.07
2007;2007.5;2.24;0.5222;-0.09
2007;2007.75;2.02;0.5837;-0.1
2007;2008;1.79;0.6144;-0.1
2007;2008.25;1.83;0.6362;-0.04
2007;2008.5;1.88;0.6631;0.06
2007;2008.75;1.93;0.6832;0.15
2007;2009;2;0.6984;0.2
2007;2009.25;1.98;0.7087;0.2
2007;2009.5;1.92;0.7103;0.2
2007;2009.75;1.85;0.7235;0.2
2007;2010;1.8;0.7302;0.2
